date;name;value;unit;v_code
02/04/2025;Чешская крона;41.2750;10;R01760
02/05/2025;Чешская крона;40.1244;10;R01760
02/06/2025;Чешская крона;40.2709;10;R01760
02/07/2025;Чешская крона;40.1635;10;R01760
02/08/2025;Чешская крона;40.0990;10;R01760
01/30/2025;Шведская крона;88.9867;10;R01770
01/31/2025;Шведская крона;88.9418;10;R01770
02/01/2025;Шведская крона;88.7118;10;R01770
02/04/2025;Шведская крона;90.5274;10;R01770
02/05/2025;Шведская крона;88.1747;10;R01770
02/06/2025;Шведская крона;88.7550;10;R01770
02/07/2025;Шведская крона;88.9218;10;R01770
02/08/2025;Шведская крона;89.0187;10;R01770
01/30/2025;Швейцарский франк;108.1578;1;R01775
01/31/2025;Швейцарский франк;107.9720;1;R01775
02/01/2025;Швейцарский франк;107.3899;1;R01775
02/04/2025;Швейцарский франк;108.9300;1;R01775
02/05/2025;Швейцарский франк;108.3501;1;R01775
02/06/2025;Швейцарский франк;108.6489;1;R01775
02/07/2025;Швейцарский франк;107.0597;1;R01775
02/08/2025;Швейцарский франк;107.4638;1;R01775
01/30/2025;Сербский динар;87.3490;100;R01805F
01/31/2025;Сербский динар;87.1849;100;R01805F
02/01/2025;Сербский динар;86.7700;100;R01805F
02/04/2025;Сербский динар;87.4656;100;R01805F
02/05/2025;Сербский динар;86.6443;100;R01805F
02/06/2025;Сербский динар;86.9276;100;R01805F
02/07/2025;Сербский динар;85.9646;100;R01805F
02/08/2025;Сербский динар;86.2247;100;R01805F
01/30/2025;Рэнд;52.4544;10;R01810
01/31/2025;Рэнд;52.9663;10;R01810
02/01/2025;Рэнд;52.6119;10;R01810
02/04/2025;Рэнд;52.7996;10;R01810
02/05/2025;Рэнд;52.5667;10;R01810
02/06/2025;Рэнд;52.6654;10;R01810
02/07/2025;Рэнд;51.9666;10;R01810
02/08/2025;Рэнд;52.7860;10;R01810
01/30/2025;Вона;68.2017;1000;R01815
01/31/2025;Вона;68.1972;1000;R01815
02/01/2025;Вона;68.2416;1000;R01815
02/04/2025;Вона;68.7841;1000;R01815
02/05/2025;Вона;67.0662;1000;R01815
02/06/2025;Вона;67.1246;1000;R01815
02/07/2025;Вона;66.8348;1000;R01815
02/08/2025;Вона;67.2215;1000;R01815
01/30/2025;Иена;62.9820;100;R01820
01/31/2025;Иена;63.3320;100;R01820
02/01/2025;Иена;63.3776;100;R01820
02/04/2025;Иена;64.1897;100;R01820
02/05/2025;Иена;63.4554;100;R01820
02/06/2025;Иена;63.6725;100;R01820
02/07/2025;Иена;63.5228;100;R01820
02/08/2025;Иена;64.3276;100;R01820
